No.,Name,name_url,HP,Att,Def,S.Att,S.Def,Spd,PrimaryType,SecondaryType,Ability1,Ability2,HiddenAbility,Generation,Male%,Female%,against_Normal,against_Fire,against_Water,against_Electric,against_Grass,against_Ice,against_Fight,against_Poison,against_Ground,against_Flying,against_Psychic,against_Bug,against_Rock,against_Ghost,against_Dragon,against_Dark,against_Steel,against_Fairy,Height (m),Weight (kg),Capture Rate,Base Happiness,Base Egg Steps,Experience Growth,mega_evolution,overall_legendary
226,Mantine,mantine,85,40,70,80,140,70,water,flying,Swift Swim,Water Absorb,Water Veil,2,50.2,49.8,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1,2.1,220,25,50,3200,Slow,0,0
227,Skarmory,skarmory,65,80,140,40,70,70,steel,flying,Keen Eye,Sturdy,Weak Armor,2,50,50,0.5,2,1,2,0.25,1,1,0,0,0.5,0.5,0.25,1,1,0.5,1,0.5,0.5,1.7,50.5,25,50,3200,Slow,0,0
228,Houndour,houndour,45,60,30,80,50,65,dark,fire,Early Bird,Flash Fire,Unnerve,2,50,50,1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1,0.6,10.8,120,35,2560,Slow,0,0
229,Houndoom,houndoom,75,90,50,110,80,95,dark,fire,Early Bird,Flash Fire,Unnerve,2,50,50,1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1,1.4,35,45,35,2560,Slow,1,0
230,Kingdra,kingdra,75,95,95,95,95,85,water,dragon,Swift Swim,Sniper,Damp,2,50,50,1,0.25,0.25,1,1,1,1,1,1,1,1,1,1,1,2,1,0.5,2,1.8,152,45,50,2560,Medium Fast,0,0
231,Phanpy,phanpy,90,60,60,40,40,40,ground,,Pickup,,Sand Veil,2,50,50,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0.5,33.5,120,50,2560,Medium Fast,0,0
232,Donphan,donphan,90,120,120,60,60,50,ground,,Sturdy,,Sand Veil,2,50,50,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,1.1,120,60,50,2560,Medium Fast,0,0
233,Porygon2,porygon2,85,80,90,105,95,60,normal,,Trace,Download,Analytic,2,,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.6,32.5,45,50,2560,Medium Fast,0,0
234,Stantler,stantler,73,95,62,85,65,85,normal,,Intimidate,Frisk,Sap Sipper,2,50,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1.4,71.2,45,50,2560,Slow,0,0
235,Smeargle,smeargle,55,20,35,20,45,75,normal,,Own Tempo,Technician,Moody,2,50,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1.2,58,45,50,2560,Fast,0,0
236,Tyrogue,tyrogue,35,35,35,35,35,35,fighting,,Guts,Steadfast,Vital Spirit,2,100,0,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,0.7,21,75,50,3200,Medium Fast,0,0
237,Hitmontop,hitmontop,50,95,95,35,110,70,fighting,,Intimidate,Technician,Steadfast,2,100,0,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,1.4,48,45,50,3200,Medium Fast,0,0
238,Smoochum,smoochum,45,30,15,85,65,65,ice,psychic,Oblivious,Forewarn,Hydration,2,0,100,1,2,1,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,1,0.4,6,45,50,3200,Medium Fast,0,0
239,Elekid,elekid,45,63,37,65,55,95,electric,,Static,,Vital Spirit,2,75,25,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0.6,23.5,45,50,3200,Medium Fast,0,0
240,Magby,magby,45,75,37,70,55,83,fire,,Flame Body,,Vital Spirit,2,75,25,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0.7,21.4,45,50,3200,Medium Fast,0,0
241,Miltank,miltank,95,80,105,40,70,100,normal,,Thick Fat,Scrappy,Sap Sipper,2,0,100,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1.2,75.5,45,50,2560,Slow,0,0
242,Blissey,blissey,255,10,10,75,135,55,normal,,Natural Cure,Serene Grace,Healer,2,0,100,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1.5,46.8,30,140,5120,Fast,0,0
243,Raikou,raikou,90,85,75,115,100,115,electric,,Pressure,,Inner Focus,2,,,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,1.9,178,3,35,10240,Slow,0,1
244,Entei,entei,115,115,85,90,75,100,fire,,Pressure,,Inner Focus,2,,,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,2.1,198,3,35,10240,Slow,0,1
245,Suicune,suicune,100,75,115,90,115,85,water,,Pressure,,Inner Focus,2,,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,2,187,3,35,10240,Slow,0,1
246,Larvitar,larvitar,50,64,50,45,50,41,rock,ground,Guts,,Sand Veil,2,50,50,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,0.6,72,45,35,5120,Slow,0,0
247,Pupitar,pupitar,70,84,70,65,70,51,rock,ground,Shed Skin,,,2,50,50,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,1.2,152,45,35,5120,Slow,0,0
248,Tyranitar,tyranitar,100,134,110,95,100,61,rock,dark,Sand Stream,,Unnerve,2,50,50,0.5,0.5,2,1,2,1,4,0.5,2,0.5,0,2,1,0.5,1,0.5,2,2,2,202,45,35,5120,Slow,1,0
249,Lugia,lugia,106,90,130,90,154,110,psychic,flying,Pressure,,Multiscale,2,,,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1,5.2,216,3,0,15360,Slow,0,1
250,Ho-Oh,ho-oh,106,130,90,110,154,90,fire,flying,Pressure,,Regenerator,2,,,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5,3.8,199,3,0,15360,Slow,0,1
251,Celebi,celebi,100,100,100,100,100,100,psychic,grass,Natural Cure,,,2,,,1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,1,0.6,5,45,100,15360,Medium Slow,0,1
252,Treecko,treecko,40,45,35,65,55,70,grass,,Overgrow,,Unburden,3,88,12,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0.5,5,45,50,2560,Medium Slow,0,0
253,Grovyle,grovyle,50,65,45,85,65,95,grass,,Overgrow,,Unburden,3,88,12,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0.9,21.6,45,50,2560,Medium Slow,0,0
254,Sceptile,sceptile,70,85,65,105,85,120,grass,,Overgrow,,Unburden,3,88,12,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,1.7,52.2,45,50,2560,Medium Slow,1,0
255,Torchic,torchic,45,60,40,70,50,45,fire,,Blaze,,Speed Boost,3,88,12,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0.4,2.5,45,50,2560,Medium Slow,0,0
256,Combusken,combusken,60,85,60,85,60,55,fire,fighting,Blaze,,Speed Boost,3,88,12,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1,0.9,19.5,45,50,2560,Medium Slow,0,0
257,Blaziken,blaziken,80,120,70,110,70,80,fire,fighting,Blaze,,Speed Boost,3,88,12,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1,1.9,52,45,50,2560,Medium Slow,1,0
258,Mudkip,mudkip,50,70,50,50,50,40,water,,Torrent,,Damp,3,88,12,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0.4,7.6,45,50,2560,Medium Slow,0,0
259,Marshtomp,marshtomp,70,85,70,60,70,50,water,ground,Torrent,,Damp,3,88,12,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,0.7,28,45,50,2560,Medium Slow,0,0
260,Swampert,swampert,100,110,90,85,90,60,water,ground,Torrent,,Damp,3,88,12,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,1.5,81.9,45,50,2560,Medium Slow,1,0
261,Poochyena,poochyena,35,55,35,30,30,35,dark,,Run Away,Quick Feet,Rattled,3,50,50,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,0.5,13.6,255,50,1920,Medium Fast,0,0
262,Mightyena,mightyena,70,90,70,60,60,70,dark,,Intimidate,Quick Feet,Moxie,3,50,50,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,1,37,127,50,1920,Medium Fast,0,0
263,Zigzagoon,zigzagoon,38,30,41,30,41,60,normal,,Pickup,Gluttony,Quick Feet,3,50.2,49.8,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.4,17.5,255,50,1920,Medium Fast,0,0
264,Linoone,linoone,78,70,61,50,61,100,normal,,Pickup,Gluttony,Quick Feet,3,50.2,49.8,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.5,32.5,90,50,1920,Medium Fast,0,0
265,Wurmple,wurmple,45,45,35,20,30,20,bug,,Shield Dust,,Run Away,3,50.2,49.8,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,0.3,3.6,255,50,1920,Medium Fast,0,0
266,Silcoon,silcoon,50,35,55,25,25,15,bug,,Shed Skin,,,3,50.2,49.8,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,0.6,10,120,50,1920,Medium Fast,0,0
267,Beautifly,beautifly,60,70,50,100,50,65,bug,flying,Swarm,,Rivalry,3,50.2,49.8,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,1,28.4,45,50,1920,Medium Fast,0,0
268,Cascoon,cascoon,50,35,55,25,25,15,bug,,Shed Skin,,,3,50.2,49.8,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,0.7,11.5,120,50,1920,Medium Fast,0,0
269,Dustox,dustox,60,50,70,50,90,65,bug,poison,Shield Dust,,Compoundeyes,3,50.2,49.8,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,1.2,31.6,45,50,1920,Medium Fast,0,0
270,Lotad,lotad,40,30,30,40,50,30,water,grass,Swift Swim,Rain Dish,Own Tempo,3,50,50,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1,0.5,2.6,255,50,1920,Medium Slow,0,0
271,Lombre,lombre,60,50,50,60,70,50,water,grass,Swift Swim,Rain Dish,Own Tempo,3,50,50,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1,1.2,32.5,120,50,1920,Medium Slow,0,0
272,Ludicolo,ludicolo,80,70,70,90,100,70,water,grass,Swift Swim,Rain Dish,Own Tempo,3,50,50,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1,1.5,55,45,50,1920,Medium Slow,0,0
273,Seedot,seedot,40,40,50,30,30,30,grass,,Chlorophyll,Early Bird,Pickpocket,3,50,50,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0.5,4,255,50,1920,Medium Slow,0,0
274,Nuzleaf,nuzleaf,70,70,40,60,40,60,grass,dark,Chlorophyll,Early Bird,Pickpocket,3,50,50,1,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,2,1,28,120,50,1920,Medium Slow,0,0
275,Shiftry,shiftry,90,100,60,90,60,80,grass,dark,Chlorophyll,Wind Rider,Pickpocket,3,50,50,1,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,2,1.3,59.6,45,50,1920,Medium Slow,0,0
276,Taillow,taillow,40,55,30,30,30,85,normal,flying,Guts,,Scrappy,3,50.2,49.8,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0.3,2.3,200,50,1920,Medium Slow,0,0
277,Swellow,swellow,60,85,60,75,50,125,normal,flying,Guts,,Scrappy,3,50.2,49.8,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0.7,19.8,45,50,1920,Medium Slow,0,0
278,Wingull,wingull,40,30,30,55,30,85,water,flying,Keen Eye,Hydration,Rain Dish,3,50,50,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1,0.6,9.5,190,50,2560,Medium Fast,0,0
279,Pelipper,pelipper,60,50,100,95,70,65,water,flying,Keen Eye,Drizzle,Rain Dish,3,50,50,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1,1.2,28,45,50,2560,Medium Fast,0,0
280,Ralts,ralts,28,25,25,45,35,40,psychic,fairy,Synchronize,Trace,Telepathy,3,50,50,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1,0.4,6.6,235,35,2560,Slow,0,0
281,Kirlia,kirlia,38,35,35,65,55,50,psychic,fairy,Synchronize,Trace,Telepathy,3,50,50,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1,0.8,20.2,120,35,2560,Slow,0,0
282,Gardevoir,gardevoir,68,65,65,125,115,80,psychic,fairy,Synchronize,Trace,Telepathy,3,50,50,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1,1.6,48.4,45,35,2560,Slow,1,0
283,Surskit,surskit,40,30,32,50,52,65,bug,water,Swift Swim,,Rain Dish,3,50,50,1,1,0.5,2,1,0.5,0.5,1,0.5,2,1,1,2,1,1,1,0.5,1,0.5,1.7,200,50,1920,Medium Fast,0,0
284,Masquerain,masquerain,70,60,62,100,82,80,bug,flying,Intimidate,,Unnerve,3,50,50,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,0.8,3.6,75,50,1920,Medium Fast,0,0
285,Shroomish,shroomish,60,40,60,40,60,35,grass,,Effect Spore,Poison Heal,Quick Feet,3,50,50,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0.4,4.5,255,50,1920,Fluctuating,0,0
286,Breloom,breloom,60,130,80,60,60,70,grass,fighting,Effect Spore,Poison Heal,Technician,3,50,50,1,2,0.5,0.5,0.5,2,1,2,0.5,4,2,1,0.5,1,1,0.5,1,2,1.2,39.2,90,50,1920,Fluctuating,0,0
287,Slakoth,slakoth,60,60,60,35,35,30,normal,,Truant,,,3,50,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.8,24,255,50,1920,Slow,0,0
288,Vigoroth,vigoroth,80,80,80,55,55,90,normal,,Vital Spirit,,,3,50,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1.4,46.5,120,50,1920,Slow,0,0
289,Slaking,slaking,150,160,100,95,65,100,normal,,Truant,,,3,50,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,2,130.5,45,50,1920,Slow,0,0
290,Nincada,nincada,31,45,90,30,30,40,bug,ground,Compoundeyes,,Run Away,3,50.2,49.8,1,2,2,0,1,2,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,0.5,5.5,255,50,1920,Erratic,0,0
291,Ninjask,ninjask,61,90,45,50,50,160,bug,flying,Speed Boost,,Infiltrator,3,50.2,49.8,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,0.8,12,120,50,1920,Erratic,0,0
292,Shedinja,shedinja,1,90,45,30,30,40,bug,ghost,Wonder Guard,,,3,,,0,2,1,1,0.5,1,0,0.5,0.5,2,1,0.5,2,2,1,2,1,1,0.8,1.2,45,50,1920,Erratic,0,0
293,Whismur,whismur,64,51,23,51,23,28,normal,,Soundproof,,Rattled,3,50.2,49.8,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.6,16.3,190,50,2560,Medium Slow,0,0
294,Loudred,loudred,84,71,43,71,43,48,normal,,Soundproof,,Scrappy,3,50.2,49.8,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,40.5,120,50,2560,Medium Slow,0,0
295,Exploud,exploud,104,91,63,91,73,68,normal,,Soundproof,,Scrappy,3,50.2,49.8,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1.5,84,45,50,2560,Medium Slow,0,0
296,Makuhita,makuhita,72,60,30,20,30,25,fighting,,Thick Fat,Guts,Sheer Force,3,75,25,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,1,86.4,180,50,2560,Fluctuating,0,0
297,Hariyama,hariyama,144,120,60,40,60,50,fighting,,Thick Fat,Guts,Sheer Force,3,75,25,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,2.3,253.8,200,50,2560,Fluctuating,0,0
298,Azurill,azurill,50,20,40,20,40,20,normal,fairy,Thick Fat,Huge Power,Sap Sipper,3,25,75,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1,0.2,2,150,50,1280,Fast,0,0
299,Nosepass,nosepass,30,45,135,45,90,30,rock,,Sturdy,Magnet Pull,Sand Force,3,50,50,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1,1,97,255,50,2560,Medium Fast,0,0
300,Skitty,skitty,50,45,45,35,35,50,normal,,Cute Charm,Normalize,Wonder Skin,3,24.9,75.1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.6,11,255,50,1920,Fast,0,0
301,Delcatty,delcatty,70,65,65,55,55,90,normal,,Cute Charm,Normalize,Wonder Skin,3,24.9,75.1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1.1,32.6,60,50,1920,Fast,0,0
302,Sableye,sableye,50,75,75,65,65,50,dark,ghost,Keen Eye,Stall,Prankster,3,50,50,0,1,1,1,1,1,0,0.5,1,1,0,1,1,1,1,1,1,2,0.5,11,45,35,3200,Medium Slow,1,0
303,Mawile,mawile,50,85,85,55,55,50,steel,fairy,Hyper Cutter,Intimidate,Sheer Force,3,50.2,49.8,0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.5,0.25,0.5,1,0,0.5,1,0.5,0.6,11.5,45,50,2560,Fast,1,0
304,Aron,aron,50,70,100,40,40,30,steel,rock,Sturdy,Rock Head,Heavy Metal,3,50.2,49.8,0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,1,0.5,1,1,0.5,0.4,60,180,35,4480,Slow,0,0
305,Lairon,lairon,60,90,140,50,50,40,steel,rock,Sturdy,Rock Head,Heavy Metal,3,50.2,49.8,0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,1,0.5,1,1,0.5,0.9,120,90,35,4480,Slow,0,0
306,Aggron,aggron,70,110,180,60,60,50,steel,rock,Sturdy,Rock Head,Heavy Metal,3,50.2,49.8,0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,1,0.5,1,1,0.5,2.1,360,45,35,4480,Slow,1,0
307,Meditite,meditite,30,40,55,40,55,60,fighting,psychic,Pure Power,,Telepathy,3,50,50,1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,2,0.6,11.2,180,50,2560,Medium Fast,0,0
308,Medicham,medicham,60,60,75,60,75,80,fighting,psychic,Pure Power,,Telepathy,3,50,50,1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,2,1.3,31.5,90,50,2560,Medium Fast,1,0
309,Electrike,electrike,40,45,40,65,40,65,electric,,Static,Lightning Rod,Minus,3,50.2,49.8,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0.6,15.2,120,50,2560,Slow,0,0
310,Manectric,manectric,70,75,60,105,60,105,electric,,Static,Lightning Rod,Minus,3,50.2,49.8,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,1.5,40.2,45,50,2560,Slow,1,0
311,Plusle,plusle,60,50,40,85,75,95,electric,,Plus,,Lightning Rod,3,50,50,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0.4,4.2,200,50,2560,Medium Fast,0,0
312,Minun,minun,60,40,50,75,85,95,electric,,Minus,,Volt Absorb,3,50,50,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0.4,4.2,200,50,2560,Medium Fast,0,0
313,Volbeat,volbeat,65,73,75,47,85,85,bug,,Illuminate,Swarm,Prankster,3,100,0,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,0.7,17.7,150,50,1920,Erratic,0,0
314,Illumise,illumise,65,47,75,73,85,85,bug,,Oblivious,Tinted Lens,Prankster,3,0,100,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,0.6,17.7,150,50,1920,Fluctuating,0,0
315,Roselia,roselia,50,60,45,100,80,65,grass,poison,Natural Cure,Poison Point,Leaf Guard,3,50.2,49.8,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,0.3,2,150,50,2560,Medium Slow,0,0
316,Gulpin,gulpin,70,43,53,43,53,40,poison,,Liquid Ooze,Sticky Hold,Gluttony,3,50,50,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0.4,10.3,225,50,2560,Fluctuating,0,0
317,Swalot,swalot,100,73,83,73,83,55,poison,,Liquid Ooze,Sticky Hold,Gluttony,3,50,50,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,1.7,80,75,50,2560,Fluctuating,0,0
318,Carvanha,carvanha,45,90,20,65,20,65,water,dark,Rough Skin,,Speed Boost,3,50.2,49.8,1,0.5,0.5,2,2,0.5,2,1,1,1,0,2,1,0.5,1,0.5,0.5,2,0.8,20.8,225,35,2560,Slow,0,0
319,Sharpedo,sharpedo,70,120,40,95,40,95,water,dark,Rough Skin,,Speed Boost,3,50.2,49.8,1,0.5,0.5,2,2,0.5,2,1,1,1,0,2,1,0.5,1,0.5,0.5,2,1.8,88.8,60,35,2560,Slow,1,0
320,Wailmer,wailmer,130,70,35,70,35,60,water,,Water Veil,Oblivious,Pressure,3,50.2,49.8,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,2,130,125,50,5120,Fluctuating,0,0
321,Wailord,wailord,170,90,45,90,45,60,water,,Water Veil,Oblivious,Pressure,3,50.2,49.8,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,14.5,398,60,50,5120,Fluctuating,0,0
322,Numel,numel,60,60,40,65,45,35,fire,ground,Oblivious,Simple,Own Tempo,3,50,50,1,0.5,4,0,1,1,1,0.5,2,1,1,0.5,1,1,1,1,0.5,0.5,0.7,24,255,50,2560,Medium Fast,0,0
323,Camerupt,camerupt,70,100,70,105,75,40,fire,ground,Magma Armor,Solid Rock,Anger Point,3,50,50,1,0.5,4,0,1,1,1,0.5,2,1,1,0.5,1,1,1,1,0.5,0.5,1.9,220,150,50,2560,Medium Fast,1,0
324,Torkoal,torkoal,70,85,140,85,70,20,fire,,White Smoke,Drought,Shell Armor,3,50,50,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0.5,80.4,90,50,2560,Medium Fast,0,0
325,Spoink,spoink,60,25,35,70,80,60,psychic,,Thick Fat,Own Tempo,Gluttony,3,50,50,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,0.7,30.6,255,50,2560,Fast,0,0
326,Grumpig,grumpig,80,45,65,90,110,80,psychic,,Thick Fat,Own Tempo,Gluttony,3,50,50,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,0.9,71.5,60,50,2560,Fast,0,0
327,Spinda,spinda,60,60,60,60,60,60,normal,,Own Tempo,Tangled Feet,Contrary,3,50.2,49.8,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1.1,5,255,50,1920,Fast,0,0
328,Trapinch,trapinch,45,100,45,45,45,10,ground,,Hyper Cutter,Arena Trap,Sheer Force,3,50,50,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0.7,15,255,50,2560,Medium Slow,0,0
329,Vibrava,vibrava,50,70,50,50,50,70,ground,dragon,Levitate,,,3,50,50,1,0.5,1,0,1,4,1,0.5,1,1,1,1,0.5,1,2,1,1,2,1.1,15.3,120,50,2560,Medium Slow,0,0
330,Flygon,flygon,80,100,80,80,80,100,ground,dragon,Levitate,,,3,50,50,1,0.5,1,0,1,4,1,0.5,1,1,1,1,0.5,1,2,1,1,2,2,82,45,50,2560,Medium Slow,0,0
331,Cacnea,cacnea,50,85,40,85,40,35,grass,,Sand Veil,,Water Absorb,3,50,50,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0.4,51.3,190,35,2560,Medium Slow,0,0
332,Cacturne,cacturne,70,115,60,115,60,55,grass,dark,Sand Veil,,Water Absorb,3,50,50,1,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,2,1.3,77.4,60,35,2560,Medium Slow,0,0
333,Swablu,swablu,45,40,60,40,75,50,normal,flying,Natural Cure,,Cloud Nine,3,50,50,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0.4,1.2,255,50,2560,Erratic,0,0
334,Altaria,altaria,75,70,90,70,105,80,dragon,flying,Natural Cure,,Cloud Nine,3,50,50,1,0.5,0.5,1,0.25,4,0.5,1,0,1,1,0.5,2,1,2,1,1,2,1.1,20.6,45,50,2560,Erratic,1,0
335,Zangoose,zangoose,73,115,60,60,60,90,normal,,Immunity,,Toxic Boost,3,50,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1.3,40.3,90,50,2560,Erratic,0,0
336,Seviper,seviper,73,100,60,100,60,65,poison,,Shed Skin,,Infiltrator,3,50,50,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,2.7,52.5,90,50,2560,Fluctuating,0,0
337,Lunatone,lunatone,90,55,65,95,85,70,rock,psychic,Levitate,,,3,,,0.5,0.5,2,1,2,1,1,0.5,2,0.5,0.5,2,1,2,1,2,2,1,1,168,45,50,3200,Fast,0,0
338,Solrock,solrock,90,95,85,55,65,70,rock,psychic,Levitate,,,3,,,0.5,0.5,2,1,2,1,1,0.5,2,0.5,0.5,2,1,2,1,2,2,1,1.2,154,45,50,3200,Fast,0,0
339,Barboach,barboach,50,48,43,46,41,60,water,ground,Oblivious,Anticipation,Hydration,3,50,50,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,0.4,1.9,190,50,2560,Medium Fast,0,0
340,Whiscash,whiscash,110,78,73,76,71,60,water,ground,Oblivious,Anticipation,Hydration,3,50,50,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,0.9,23.6,75,50,2560,Medium Fast,0,0
341,Corphish,corphish,43,80,65,50,35,35,water,,Hyper Cutter,Shell Armor,Adaptability,3,50,50,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0.6,11.5,205,50,1920,Fluctuating,0,0
